"k","Misclass_Rate"
1,0.0551003815122897
2,0.0601038213771968
3,0.0528488335730815
4,0.055538182500469
5,0.0556632684970918
6,0.0554130965038464
7,0.0571017574582525
8,0.0567264994683845
9,0.0586027894177247
10,0.0604790793670649
11,0.0609794233535556
12,0.0611045093501782
13,0.0622302833197823
14,0.0622302833197823
15,0.0630433422978297
16,0.0632935142910751
17,0.0637313152792545
18,0.0643567452623679
19,0.0652948902370379
20,0.0654199762336607
21,0.065670148226906
22,0.0669210081931327
23,0.0667333791981988
24,0.0664832072049534
25,0.0672337231846895
26,0.0679216961661142
27,0.0680467821627369
28,0.0683594971542936
29,0.0689223841390957
30,0.0692350991306523
31,0.0694227281255864
32,0.0699856151103884
33,0.0699856151103884
34,0.0704234160985677
35,0.0707361310901244
36,0.0711113890799925
37,0.0713615610732379
38,0.0717368190631059
39,0.0716742760647946
40,0.0717993620614172
41,0.0720495340546626
42,0.0722997060479079
43,0.072487335042842
44,0.0729251360310214
45,0.072674964037776
46,0.073425480017512
47,0.0734880230158234
48,0.0737381950090688
49,0.0738632810056914
50,0.0737381950090688
51,0.0739258240040027
52,0.0743636249921821
53,0.0744887109888048
54,0.0745512539871162
55,0.0746763399837388
56,0.0750515979736068
57,0.0750515979736068
58,0.0746763399837388
59,0.0750515979736068
60,0.0751766839702296
61,0.0754268559634749
62,0.0758021139533429
63,0.0757395709550316
64,0.0758646569516542
65,0.075989742948277
66,0.0760522859465883
67,0.0764275439364563
68,0.076365000938145
69,0.0766151729313903
70,0.0766777159297016
71,0.0764900869347677
72,0.0764275439364563
73,0.0764275439364563
74,0.076552629933079
75,0.0770529739195697
76,0.077115516917881
77,0.077115516917881
78,0.0772406029145037
79,0.0773031459128151
80,0.0772406029145037
81,0.0775533179060605
82,0.0778660328976171
83,0.077490774907749
84,0.0778034898993057
85,0.0779911188942398
86,0.0781787478891738
87,0.0784914628807305
88,0.0783663768841079
89,0.0784914628807305
90,0.0784289198824192
91,0.0783038338857965
92,0.0786790918756645
93,0.0784289198824192
94,0.0783663768841079
95,0.0789292638689099
96,0.0789292638689099
97,0.0790543498655325
98,0.0792419788604666
99,0.0795546938520233
100,0.0796172368503346
101,0.0797423228469573
102,0.0799299518418913
103,0.07986740884358
104,0.0799924948402027
105,0.0799924948402027
106,0.0801175808368253
107,0.0798048658452686
108,0.0801175808368253
109,0.0802426668334481
110,0.0803677528300707
111,0.0804928388266933
112,0.0803677528300707
113,0.0803052098317594
114,0.0804928388266933
115,0.080430295828382
116,0.080430295828382
117,0.080617924823316
118,0.0806804678216274
119,0.0808055538182501
120,0.0809306398148727
121,0.080993182813184
122,0.0808680968165614
123,0.0810557258114954
124,0.0810557258114954
125,0.080993182813184
126,0.0811182688098068
127,0.0813058978047407
128,0.0813058978047407
129,0.0813058978047407
130,0.0813058978047407
131,0.0814935267996748
132,0.0816186127962975
133,0.0817436987929201
134,0.0817436987929201
135,0.0818687847895428
136,0.0818687847895428
137,0.0817436987929201
138,0.0819938707861655
139,0.0819938707861655
140,0.0820564137844768
141,0.0819313277878542
142,0.0818687847895428
143,0.0820564137844768
144,0.0819938707861655
145,0.0820564137844768
146,0.0820564137844768
147,0.0821814997810995
148,0.0821814997810995
149,0.0822440427794109
150,0.0821814997810995
151,0.0821814997810995
152,0.0822440427794109
153,0.0822440427794109
